StudentID,Name,Gender,AttendanceRate,StudyHoursPerWeek,PreviousGrade,ExtracurricularActivities,ParentalSupport,FinalGrade,Study Hours,Attendance (%),Online Classes Taken
1893,Lori Carrillo,Male,85,17,85,2,High,68,3.9,94,TRUE
7440,Samantha Novak,Female,95,17,78,0,Medium,88,4.5,62,FALSE
2477,Audrey Robinson,Female,95,10,85,2,High,78,3.2,55,FALSE
9383,Lindsey Kerr,Male,70,12,60,1,High,90,2.8,92,TRUE
3656,Cynthia Nguyen,Male,78,15,60,2,Medium,78,1.4,61,TRUE
9084,Matthew Stevenson,Male,92,22,77,1,Medium,78,0.4,88,TRUE
5009,Rhonda White,Female,91,12,90,1,High,68,0.3,72,TRUE
3381,Larry Ramsey,Male,91,22,82,1,High,80,0.5,61,TRUE
5659,Kimberly Anderson,Male,85,22,88,1,High,85,1.6,74,TRUE
4425,Kelly Baker,Male,90,22,70,2,Medium,88,4.7,95,FALSE
7996,Wendy Miller,Female,88,12,86,3,Medium,68,3.1,81,FALSE
9069,Michael Webster,Male,91,25,82,3,High,87,0.1,90,TRUE
4396,Michelle Ryan,Female,70,15,88,1,Low,92,0.1,62,FALSE
5168,Justin Jennings,Male,88,18,70,2,Medium,80,0.6,71,FALSE
7488,Norma Ward,Male,78,25,88,1,Low,78,4.6,52,TRUE
7147,David Stone,Male,91,22,60,0,Low,87,4.3,98,FALSE
6152,Amy Evans,Male,88,8,85,1,High,90,2.3,69,TRUE
9192,Stephen Ramirez,Male,92,30,77,2,Medium,90,0.7,56,TRUE
4361,Nicholas Baxter,Male,85,8,70,2,High,85,4.7,93,TRUE
6460,Raymond Smith,Female,85,20,70,2,High,88,3.8,90,TRUE
6257,Roy Johnson,Male,92,18,82,2,Medium,78,3.4,67,TRUE
5440,Justin Johnson,Male,88,22,90,0,High,85,3.1,71,FALSE
8304,Kaylee Benjamin,Female,88,30,90,2,High,78,2.8,55,FALSE
2593,Charles Murphy,Female,88,17,77,3,High,68,4.3,89,FALSE
8842,Michael Woods,Female,78,18,88,3,Low,68,2.5,75,TRUE
6339,Michael Kane,Male,88,12,77,0,Low,62,1.2,65,TRUE
8903,Susan Benson,Female,90,30,90,3,Medium,62,2.8,71,TRUE
3835,Timothy Armstrong,Male,91,17,85,3,Low,78,1.6,56,FALSE
3886,Cindy Harvey,Female,70,20,86,2,Low,88,3.9,74,FALSE
9098,Caitlin Carter,Male,90,25,65,3,Low,80,3.8,92,TRUE
8421,Ricky Johnson,Female,70,22,86,1,High,92,3.4,70,FALSE
5989,Bryan Hoover,Female,95,20,86,1,Low,72,2,58,FALSE
2022,Elijah Wagner,Female,82,15,78,2,Medium,87,4.3,51,TRUE
8073,Felicia Davis,Female,95,8,60,0,Medium,72,1.1,61,FALSE
3200,Michael Yoder,Male,90,15,65,1,Low,62,4.9,58,TRUE
3248,Samantha York,Female,85,22,60,3,High,78,2.5,85,FALSE
7303,Joanna Martinez,Female,92,10,60,3,High,88,2.5,96,TRUE
9220,Penny Hopkins,Female,70,12,86,1,High,80,2.8,95,FALSE
5017,Jennifer Morgan,Female,90,12,86,2,Low,80,4.5,84,TRUE
8681,Dalton Chen,Female,82,17,86,1,Medium,90,4.8,68,FALSE
3744,Mrs. Amy Carney MD,Male,91,18,86,2,High,78,2.9,86,TRUE
5780,Melissa Wang,Male,88,17,85,0,Low,87,4.3,67,FALSE
7222,Deanna Jones,Female,85,18,65,2,Medium,80,1.4,78,FALSE
6172,Alicia Young,Female,90,12,88,0,Low,85,1.7,67,TRUE
5183,Peter Figueroa,Female,85,25,86,3,Low,90,3.4,61,FALSE
4594,Jonathon Woodward,Female,88,25,78,1,Low,87,0.3,88,TRUE
2995,Brian Hayes,Male,90,22,65,0,Low,88,4,61,TRUE
3915,Terri Hayden,Female,90,17,90,3,Medium,68,3.2,56,TRUE
9857,Taylor Burns,Female,92,22,85,1,Low,85,0.5,54,TRUE
5105,Andrew Jimenez,Female,85,17,65,1,High,62,1.3,94,FALSE
7411,Wendy King,Male,82,17,77,0,Medium,87,2.7,50,FALSE
8898,Luis Carter,Male,91,12,88,1,Low,85,2,90,TRUE
5896,Tiffany Sanders,Female,90,30,77,2,Low,78,3.7,58,TRUE
9791,Brittany Andrews,Male,91,25,85,1,Low,68,2.4,51,FALSE
1750,William Weber,Male,78,15,65,1,Medium,87,2.3,60,TRUE
2742,Angela Ortiz,Male,85,22,86,3,High,92,2.1,97,FALSE
3185,Travis Harrell,Male,91,8,65,1,Medium,87,0,61,TRUE
5648,Craig Mccann,Female,85,10,90,0,Low,85,2.6,76,TRUE
4144,Kelly Cohen,Male,82,20,86,1,Low,72,1.1,99,TRUE
9804,Henry Johnson,Male,78,15,77,2,High,87,4.5,96,FALSE
6340,Keith Wilson,Female,92,30,90,2,Medium,92,0.5,97,FALSE
4276,Jordan Chase,Female,92,20,77,3,Medium,80,4.5,59,TRUE
8454,Kayla Solomon,Male,70,30,65,1,Low,92,3.2,67,TRUE
6503,Hayley Johnson,Male,85,22,78,2,High,87,4.3,79,FALSE
3804,John Bender,Female,92,18,86,0,Low,88,4.5,86,TRUE
5041,Michael Willis,Male,95,8,86,3,Low,68,4.6,50,FALSE
1724,James Simmons,Male,85,12,78,0,Low,62,2.4,94,TRUE
8452,Michael Walters,Female,78,8,65,1,Low,78,3.5,50,TRUE
7305,Jason Anderson,Female,82,15,82,0,Medium,88,2.7,100,TRUE
6989,James Hoover,Female,78,12,85,2,Low,92,0.7,71,TRUE
5540,Lisa Williams,Female,90,30,88,1,Medium,72,2.6,57,FALSE
9714,Erica Thomas,Female,85,22,88,2,High,78,0.4,75,TRUE
5803,Molly Jones,Female,82,10,77,1,Medium,78,3.7,51,FALSE
7093,Arthur Johnson,Female,85,10,88,2,Medium,68,3.1,60,FALSE
3986,Collin Edwards,Male,78,10,90,2,High,90,2.9,78,FALSE
8306,David Jimenez,Female,90,30,78,3,Low,92,2.9,64,FALSE
6915,Marvin Cardenas,Female,78,8,88,0,Medium,80,1.4,72,FALSE
2449,Christopher Taylor,Male,70,18,60,0,Low,78,3.6,98,TRUE
4264,Brenda Bell,Male,70,18,70,1,High,85,4.2,69,FALSE
8593,Ashley Nguyen,Male,85,15,65,2,Medium,78,0.6,92,FALSE
7834,Michael Bailey,Male,85,25,78,2,Medium,78,5,54,FALSE
1798,Karen Cruz,Female,88,12,85,2,High,68,3.8,88,TRUE
9908,Jodi Taylor,Female,95,18,82,1,High,72,2.9,59,TRUE
3243,Thomas Mcgrath,Female,95,17,60,1,High,87,1.1,82,TRUE
3277,Kathy Bailey,Female,91,12,88,0,Low,85,0.1,57,TRUE
3108,Karen Wolf,Male,92,18,65,3,High,87,2.1,98,TRUE
4365,Ashley Jordan,Male,78,30,78,2,High,85,4.7,72,FALSE
3630,Lonnie Williams,Male,82,22,85,2,Low,80,2.6,95,TRUE
5617,Michael Poole,Male,82,15,85,3,Low,78,1.8,87,TRUE
8203,David Martinez,Male,78,30,60,0,High,72,-5,200,FALSE
3025,Eduardo Miller,Female,90,12,65,1,Medium,85,2.8,52,TRUE
2723,Audrey Woods,Female,85,12,85,2,High,62,2,87,TRUE
3764,Lauren Brown,Male,95,25,88,3,Low,62,0.6,77,FALSE
5563,Stephanie Merritt,Female,70,30,77,3,Medium,78,2.6,59,FALSE
2770,Rebecca Jones,Male,88,17,77,3,Low,68,0.1,97,TRUE
2117,Isaiah Arnold,Female,85,10,60,3,Low,90,0.8,89,TRUE
2253,Andrea Frey,Female,85,25,82,1,Medium,72,1.3,71,TRUE
1517,Andrew Dudley,Female,90,8,77,1,Medium,78,2.3,52,TRUE
5965,Kenneth Jones,Male,85,8,65,2,Low,62,2.4,57,FALSE
9837,Jane Griffith,Female,85,12,65,2,High,62,1.3,87,FALSE
6779,Jeff Phillips,Female,95,15,78,3,High,68,4.2,72,TRUE
6591,Dawn Edwards,Female,90,8,88,1,Medium,90,0.3,65,TRUE
4844,Paige Campbell,Female,91,20,85,2,High,90,0.8,84,FALSE
1612,Belinda Kim,Female,70,22,70,0,Medium,80,3.5,87,TRUE
6504,Ruben Steele,Female,82,30,65,3,Medium,90,4.8,62,FALSE
2234,Bradley Martinez,Male,88,18,78,2,Low,62,4,89,TRUE
2552,Alison Williams,Female,88,20,86,2,Medium,62,1,100,TRUE
5945,Scott Ferguson,Female,70,12,88,3,Medium,62,1.3,82,FALSE
9971,David Brown,Male,85,12,65,3,Medium,92,3.3,97,FALSE
7649,Renee Scott,Male,90,10,90,1,High,85,2.3,85,FALSE
7914,Aimee Green,Male,92,10,82,0,High,85,3.9,67,TRUE
1691,Ricky Jenkins,Female,85,15,85,1,Low,85,4.3,76,FALSE
2479,Kelly Allen MD,Female,78,25,85,3,Low,72,4.7,83,FALSE
9133,Sean Smith,Male,92,22,85,1,Medium,88,3.7,97,TRUE
7928,Robert Johnson,Male,78,20,65,3,Medium,78,2,87,TRUE
6947,Ryan West,Female,95,18,78,3,High,80,3.5,100,TRUE
5929,Christina Fitzgerald,Male,92,18,90,0,Medium,90,4.4,99,FALSE
1555,Susan Roberson,Female,90,17,77,0,Medium,62,4.4,56,TRUE
4010,Jodi Rogers,Female,78,15,60,3,Low,85,1.6,55,TRUE
3585,Michelle Clay,Male,82,10,86,0,Medium,78,2.4,97,TRUE
5270,Jacob Bean,Male,91,30,82,3,High,62,1.8,75,FALSE
4677,Robert Harper,Male,85,12,86,3,High,78,1,94,TRUE
1231,Michelle Graham,Female,85,17,85,3,Low,92,1,100,FALSE
5717,Seth Johnson,Female,70,10,60,3,Low,92,5,68,TRUE
8506,Julia Sanchez,Male,85,17,65,1,Low,62,3.4,95,FALSE
1745,Justin Sharp,Male,88,12,86,0,Medium,62,3.4,58,TRUE
3323,Christine Mullins,Female,90,30,78,0,Medium,85,3.7,77,FALSE
5312,Timothy Mcbride,Female,82,30,60,0,Medium,78,3.8,59,FALSE
1871,Deborah Reyes,Male,78,15,90,0,High,78,1.3,95,FALSE
1067,Makayla Rhodes,Male,70,20,90,1,Low,87,4.4,51,FALSE
8439,Sean Hernandez,Female,91,15,88,1,Low,88,4.8,70,TRUE
4463,Christine Young,Male,88,30,78,2,Low,88,1.9,75,FALSE
3916,Brian Hale,Male,70,20,78,3,High,62,3.9,68,TRUE
2975,Sandra Hart,Female,85,8,82,3,High,90,3.3,73,TRUE
9021,Christine Curtis,Female,70,17,82,3,Low,62,0.5,77,FALSE
4053,Tara Johnson,Female,70,20,78,2,Medium,78,3.4,91,TRUE
5073,Miguel Leblanc,Female,88,22,78,2,High,80,2.6,82,FALSE
7766,Christina Mcintyre,Male,85,22,82,1,Medium,88,0.4,82,TRUE
2866,John Weber,Female,78,10,60,1,High,62,4.4,69,FALSE
8454,Timothy Austin,Female,91,18,88,0,High,68,0.4,88,FALSE
7637,Michael Noble,Female,88,22,86,1,Low,62,4,55,TRUE
3213,Christine Shah,Male,92,20,78,3,High,92,2.4,59,TRUE
8139,Lisa Maynard,Male,90,18,77,0,Medium,62,0.1,60,TRUE
8295,Lisa Lynch,Female,85,15,77,3,High,92,1.5,75,TRUE
6469,Angela Warren,Male,90,8,60,1,Low,88,3,85,FALSE
1994,Yvonne Krueger,Male,70,22,88,2,High,85,4.5,76,FALSE
2915,Keith Bailey,Female,91,30,77,0,High,68,1.4,62,FALSE
6633,Barbara Case,Female,92,12,90,3,Low,90,4.6,95,FALSE
3148,Jamie Torres,Female,70,8,88,1,High,88,1,94,TRUE
8911,Justin Jacobs,Male,78,25,65,3,Medium,87,4,81,FALSE
2043,Michelle Kelly,Female,70,20,86,3,High,72,1.1,66,FALSE
6820,Terry Hernandez,Male,82,18,65,2,Low,87,3.5,78,FALSE
2817,Aaron Duarte,Male,91,22,85,2,High,72,0.5,90,TRUE
4365,Micheal Perez,Female,78,18,77,2,Medium,87,0.8,73,FALSE
3257,Troy Bradford,Male,92,17,60,1,High,78,1.7,82,TRUE
2396,Bobby Wilkinson,Female,95,8,88,3,High,72,2.1,64,TRUE
9647,Todd Brooks,Male,70,17,90,2,Low,88,3.3,94,FALSE
7627,Madeline Rush,Male,88,20,78,2,Medium,62,3.6,97,TRUE
1383,Nicole Frederick,Male,82,22,82,3,Medium,62,4.9,57,TRUE
8424,Mallory Fletcher,Female,92,22,86,2,Low,92,1.8,68,TRUE
7187,David Cummings,Male,90,30,70,3,High,90,2.3,59,FALSE
7751,Kelly Suarez,Male,90,15,60,0,Medium,92,2.2,73,FALSE
9502,Drew Morse,Male,88,22,77,0,Medium,78,3.7,76,TRUE
3364,Lauren Stephens,Male,85,17,65,2,Low,87,3.5,79,FALSE
1534,Penny Miller,Male,82,30,85,3,Medium,87,0.6,86,FALSE
1659,Paula Stewart,Male,90,30,82,1,Medium,85,2.4,100,TRUE
3328,Jonathan Johnson,Female,85,18,82,3,High,78,0,85,FALSE
2106,Laura Ross,Male,70,17,86,2,Low,78,4.5,100,FALSE
8786,Brandy Wilson,Male,78,12,77,1,Low,78,0.7,96,FALSE
2463,Brittany Briggs,Female,70,25,60,1,Low,80,4.8,78,FALSE
2450,Carl Coleman,Male,85,22,82,2,Low,87,3.2,55,TRUE
9877,Crystal Chandler,Male,91,12,90,1,Low,80,0.6,84,TRUE
2878,Julie Jackson,Male,82,10,82,0,High,85,3.8,59,FALSE
7672,Cindy Morales,Male,85,22,88,0,High,80,1.5,56,FALSE
7676,Kimberly Calderon,Male,85,18,70,3,Low,87,1.2,85,TRUE
5990,Lisa Brooks,Female,85,20,70,3,High,90,2.7,60,TRUE
9806,Destiny Todd,Female,82,17,78,1,Medium,88,1.4,60,TRUE
1745,Jacob Yoder,Male,82,22,85,2,High,62,3.5,58,FALSE
8077,Martha Moody,Male,91,12,88,1,Low,85,4.9,95,FALSE
5473,James Torres,Male,95,30,90,1,Low,90,0.1,94,TRUE
2270,Shelly Stuart,Male,85,20,88,0,Low,90,1.9,99,TRUE
3044,Julie Williams,Female,95,25,77,1,High,80,3.8,93,FALSE
4137,Tamara Jones,Female,91,18,90,3,Medium,90,0.2,81,TRUE
2070,Jeffrey Torres,Male,90,10,82,3,High,72,3.6,67,TRUE
7666,Alan Williams,Female,90,12,77,1,Medium,72,3.8,96,TRUE
4696,Dawn Nguyen,Female,90,25,90,0,Medium,85,0.3,90,TRUE
1456,Andrea Phillips,Female,70,15,86,1,Medium,92,0.5,65,FALSE
1897,Joseph Ellis,Female,91,8,85,2,Low,80,2.8,68,FALSE
7581,Jennifer Smith,Male,91,8,90,3,Low,88,0.1,74,FALSE
8014,Vickie Holloway,Male,95,15,77,2,Medium,88,1,56,TRUE
2106,Nancy Munoz,Male,91,10,70,2,Medium,62,2.4,89,FALSE
6098,Amber Gray,Male,78,17,82,3,Medium,85,1.8,50,TRUE
1939,Christian Barr,Male,82,12,78,0,Medium,92,4.9,90,TRUE
7558,Rebecca Kelly,Male,85,30,78,2,Medium,80,2.8,59,FALSE
8215,Aaron Walls,Male,91,30,78,1,High,92,1.4,64,FALSE
3855,Mark King,Female,82,25,65,3,High,68,4.2,56,TRUE
3248,James Macdonald,Female,90,30,90,2,Medium,92,1.8,73,TRUE
9633,Alexander Thompson,Female,90,20,65,0,High,92,2.7,94,FALSE
5049,Ashley Kaufman,Male,88,10,70,3,Medium,92,3.6,100,FALSE
2062,Megan Bernard,Male,82,8,70,1,Medium,72,2.3,70,FALSE
9609,Kelly Harper,Female,85,17,82,3,Medium,88,3.2,63,TRUE
4325,Daniel White,Female,92,8,90,2,Medium,62,2.9,73,FALSE
2388,Justin Castro,Male,90,18,77,2,Medium,92,2.9,79,FALSE
5096,Jeremy Shields,Female,88,25,86,0,Low,72,4.6,50,FALSE
5617,Matthew Davies,Female,70,8,86,1,Medium,72,4.9,59,FALSE
4728,Christine Hamilton,Male,92,17,90,2,Low,72,3.8,96,FALSE
6581,Crystal Proctor,Male,95,25,60,0,High,78,2.2,85,TRUE
7608,Victoria Mcbride,Female,95,22,78,3,High,68,0.8,71,FALSE
2138,Frank Brown DDS,Female,88,25,90,2,Low,72,0.3,53,FALSE
4325,Richard Howard Jr.,Male,88,25,78,0,Medium,87,4.1,88,TRUE
9615,Anita Dougherty,Female,91,17,77,1,Low,80,3.7,68,FALSE
6681,Alicia Watson,Female,70,22,65,0,High,68,4.5,96,FALSE
8501,Deborah Hunter,Female,78,22,85,0,Low,80,1.2,60,FALSE
9810,Morgan Gilbert,Female,90,25,77,0,Low,87,5,54,TRUE
9264,Taylor Crawford,Female,70,17,65,2,High,72,0.2,51,TRUE
6359,Cory Rosario DDS,Female,85,17,85,2,Low,92,3.6,78,TRUE
3759,Kyle Perez,Male,85,18,65,1,Medium,68,1.1,52,TRUE
8242,Kelly Gibson MD,Male,82,20,60,2,Medium,80,3,53,FALSE
4305,Angela Garcia,Male,95,25,90,2,High,62,0.1,50,FALSE
4148,Dylan Vaughan,Male,92,20,65,0,High,62,2.6,70,FALSE
4105,Kevin Santiago,Male,82,8,60,2,High,92,0.5,70,TRUE
1245,Terry Rodriguez,Female,95,15,60,3,Medium,92,0.3,67,FALSE
1719,Chad Mason,Male,92,8,82,3,Medium,87,3.6,100,TRUE
5127,Jessica Ferguson,Male,91,30,60,0,Medium,68,3.2,94,FALSE
2300,Jason Hood,Male,78,30,77,2,High,68,1.9,91,TRUE
1388,Tyler Mccormick,Male,95,30,90,3,Low,80,4.5,92,TRUE
4644,Megan Murphy,Female,82,30,65,1,Low,80,0.3,81,TRUE
1324,Teresa Rodriguez,Female,70,20,82,3,Low,68,2.8,61,FALSE
7233,Shannon Spencer,Female,88,17,82,0,Low,88,2.4,71,TRUE
8688,Darlene Tapia,Male,78,25,78,1,Low,90,2.5,76,FALSE
7113,Ryan Ball,Female,85,18,86,2,Medium,80,5,57,FALSE
3660,Anita Berger,Male,70,18,88,2,Low,78,3.2,73,TRUE
7313,Tom Bradley,Male,92,25,77,1,Medium,80,3.5,91,TRUE
5281,Melinda Cummings,Female,78,18,90,3,Low,68,0.1,99,TRUE
7297,Melissa Donaldson,Female,91,20,70,3,Medium,68,4.1,66,FALSE
5407,Isaiah Moore,Male,70,18,78,0,Medium,80,0.5,99,FALSE
9600,Jonathan Ramirez,Male,88,8,65,0,Medium,68,3.5,62,FALSE
3981,Mrs. Melanie Mueller,Male,85,22,90,0,High,80,3.7,98,TRUE
5249,Ms. Heather Dean,Female,85,22,85,0,High,85,0.4,57,FALSE
2052,David Malone,Female,85,22,90,1,Medium,87,0,67,TRUE
1685,Melissa Brown,Male,92,12,78,0,Low,72,4.9,98,FALSE
8961,Jason Woods,Female,95,22,60,1,Medium,90,5,65,FALSE
7528,Rachel Diaz,Female,91,15,88,1,High,80,2.3,94,FALSE
3275,Michael Jones,Male,91,20,70,2,Low,92,1.8,89,FALSE
9436,Taylor Mcgee,Female,92,15,88,1,Low,90,4.4,97,FALSE
8279,Christopher Ray,Male,91,17,60,3,High,90,2.1,80,TRUE
2465,Dr. James Henry DDS,Male,70,15,65,1,Medium,85,1.1,66,FALSE
3016,James Stevens,Male,82,17,85,1,High,88,3.8,88,TRUE
6623,Kevin Marquez,Female,70,12,60,3,High,85,0.6,55,TRUE
2460,Colleen Porter,Female,91,25,85,3,Medium,68,4.3,74,TRUE
6092,Christian Odom,Male,91,12,90,0,Medium,90,3.9,93,TRUE
9515,Calvin Macias,Male,90,8,78,2,Medium,90,0.7,68,TRUE
9189,Kim Fischer,Female,78,22,82,0,Low,80,3,69,TRUE
5480,Travis Schultz,Female,92,17,82,0,High,90,0.8,95,TRUE
4687,Bonnie Morris,Male,78,17,60,2,Low,68,5,85,FALSE
9978,Paul Poole,Female,90,10,88,3,High,85,2.3,60,TRUE
2670,Bernard Whitaker,Male,70,8,65,1,High,90,4.9,61,TRUE
2922,Melinda Miller,Female,91,8,65,0,High,80,0.6,75,FALSE
5959,Christina Gonzales,Male,70,20,77,0,Medium,78,1.8,57,TRUE
2549,Mary Bennett,Male,70,17,60,2,Low,68,0.5,54,TRUE
7640,Dr. Erik Pineda,Male,70,12,70,2,Medium,87,2.6,87,TRUE
4399,Sandra Burns,Male,78,22,65,1,Low,78,4,57,TRUE
6956,Erika Kennedy,Male,70,15,90,2,High,72,4.5,68,FALSE
5544,Rhonda Davenport,Male,91,8,85,2,Medium,85,1.9,60,FALSE
8472,Cheryl Brown,Male,88,8,65,2,High,87,3.1,67,TRUE
7097,Angela Bridges,Male,70,10,88,0,Medium,80,4.8,65,TRUE
5425,Brandon Rasmussen,Male,82,20,70,0,High,90,3.2,73,FALSE
3879,Allison Novak,Female,91,17,85,2,Medium,88,4.3,85,FALSE
2256,Jessica Howard,Male,90,10,86,1,High,85,2.8,81,TRUE
7946,Lisa Zhang,Male,85,17,70,2,Low,87,2,89,TRUE
7211,Brianna Henderson,Male,95,20,88,3,Low,87,1.5,80,FALSE
5337,Mark Sanchez,Male,85,22,60,3,Medium,72,4.1,52,FALSE
8999,Melissa Nguyen,Male,95,15,86,1,Medium,85,1.8,50,FALSE
4050,Jeff Carney,Male,95,15,85,0,Medium,92,0.4,82,TRUE
1095,Eric Wilson,Female,92,20,90,2,High,68,2,97,FALSE
1517,Linda Armstrong,Male,92,17,82,2,Medium,78,2.8,93,TRUE
4874,Darlene Burton,Female,95,8,86,1,Medium,78,1.4,81,TRUE
8027,Faith Johnson,Male,91,10,70,0,High,85,3.8,66,TRUE
8031,Nathan Miller,Male,85,20,70,3,High,92,5,87,TRUE
2489,Whitney Jefferson,Male,70,8,70,2,Low,92,1.1,77,FALSE
2005,Shane Sanders,Female,85,18,85,2,Medium,85,4.7,95,FALSE
5046,Felicia Cline,Female,85,10,78,1,High,90,1.1,80,FALSE
3134,Miss Carla Coleman MD,Female,95,30,86,2,Low,90,1.2,67,TRUE
4160,Crystal Brown,Female,90,20,70,3,Medium,85,3.6,98,TRUE
9741,Erica Miller,Male,85,10,90,0,Low,85,4.5,98,FALSE
4015,Erica Miller,Male,78,22,90,3,Low,80,4.4,100,FALSE
9254,Wesley May,Female,88,25,82,2,Low,87,0.9,52,TRUE
5781,Christopher Atkinson,Male,78,18,65,2,High,92,4.9,63,TRUE
1022,Blake Martinez,Female,91,30,88,2,Low,72,1.3,58,FALSE
7258,Mary Ramos,Female,91,12,90,1,High,90,1.3,87,FALSE
3550,Colleen Sanchez,Female,92,8,88,0,Medium,87,2.5,79,TRUE
4077,Ralph Becker,Male,78,20,60,3,Medium,62,0.5,83,TRUE
1193,Denise Coleman,Male,70,8,78,2,High,80,0.7,99,TRUE
1019,Anthony Smith,Male,85,25,60,0,High,90,3.3,64,FALSE
2841,Deborah Hernandez,Female,78,20,90,2,Medium,90,0.4,71,TRUE
6906,Kristi Price,Male,85,22,65,0,Medium,72,1.7,61,FALSE
3461,Alex Douglas,Female,91,18,88,2,Medium,78,3.3,66,TRUE
1035,Ian Mcdonald,Male,78,30,65,0,Medium,78,4.1,57,FALSE
5562,David Bauer,Male,90,30,65,0,Medium,90,1.6,77,FALSE
7301,Linda Beasley,Male,91,8,70,3,Low,92,3.5,65,FALSE
3283,Megan Hutchinson,Female,85,10,70,0,High,92,4.1,53,TRUE
3591,Thomas Freeman,Male,78,30,65,2,High,87,0.1,76,TRUE
8443,Travis Pierce,Female,91,12,82,3,Medium,68,1.4,55,FALSE
8674,Kristen Galloway,Female,95,8,60,0,High,90,3.2,62,FALSE
2776,Raven Taylor,Male,90,30,86,1,High,92,1.4,84,TRUE
1138,Holly Spencer,Female,88,8,70,3,Medium,62,3.6,58,TRUE
5753,Daniel Sullivan,Male,78,17,85,2,Low,92,4.4,93,TRUE
3638,Richard Franklin,Female,85,10,88,2,Medium,88,4.3,77,TRUE
7350,Samantha Klein,Male,92,22,86,2,High,88,3.1,81,TRUE
2116,Kimberly Pena,Female,91,30,88,2,High,68,3.6,79,FALSE
8753,Rebecca Burnett,Female,85,10,85,3,Medium,80,1.8,68,FALSE
7701,Anna Martinez,Male,85,30,70,3,Medium,90,0.4,76,FALSE
3592,Monica Johnson,Female,90,25,60,1,Low,87,1.7,79,FALSE
2787,Shannon Porter,Male,78,20,60,0,High,62,1.6,70,FALSE
7636,Joseph Sherman,Male,88,17,60,2,High,85,0.9,53,TRUE
